word,connected,count
country,india,78
country,people,69
country,great,66
country,government,52
country,world,43
country,many,41
country,war,37
country,europe,36
country,country,35
great,india,138
great,people,110
great,world,102
great,many,99
great,europe,87
great,great,69
great,country,60
great,war,60
great,government,37
people,many,142
people,great,117
people,india,99
people,government,82
people,country,66
people,europe,63
people,world,53
people,people,39
people,war,39
year,year,27
year,great,18
year,war,15
year,many,13
year,europe,12
year,world,9
year,india,7
year,government,7
year,people,7
war,war,60
war,great,46
war,government,44
war,people,37
war,many,35
war,europe,34
war,country,30
war,world,26
war,india,24
government,people,51
government,country,34
government,government,22
government,india,20
government,great,16
government,war,15
government,many,14
world,great,99
world,europe,69
world,people,50
world,india,44
world,world,40
world,many,39
world,country,37
world,war,32
many,people,118
many,great,93
many,india,89
many,europe,74
many,war,47
many,many,44
many,world,42
many,country,38
many,government,37
